ID,COD,YEAR,IDH,IDHr,INBpc,GasSocial,IGINICEPAL,CONTCORR,EGOB,ESTPOL,CALIREG,RJUE,VOZYREND,CONTCORRp,EGOBp,ESTPOLp,CALIREGp,RJUEp,VOZYRENDp
1,ARG,2013-01,0.824,0.84,23852,13,0.389,-0.43,-0.28,0.07,-0.96,-0.71,0.28,40.28,45.97,48.34,18.01,29.58,56.81
1,ARG,2014-01,0.825,0.843,23048,13,0.391,-0.54,-0.16,-0.01,-1.07,-0.89,0.35,35.1,46.63,45.71,12.5,18.75,59.11
1,ARG,2015-01,0.828,0.847,23466,14.1,0.392,-0.55,-0.08,0.01,-0.91,-0.77,0.41,33.65,50,46.19,17.31,24.04,60.1
1,ARG,2016-01,0.828,0.849,22697,14.2,0.393,-0.28,0.16,0.2,-0.47,-0.39,0.49,47.12,60.1,52.86,33.65,37.5,63.55
1,ARG,2017-01,0.832,0.854,22962,14.6,0.388,-0.26,0.15,0.17,-0.29,-0.25,0.53,47.6,58.65,53.33,41.35,46.15,65.52
1,ARG,2018-01,0.83,0.856,21918,13.5,0.396,-0.07,0.03,0.02,-0.29,-0.24,0.56,55.29,54.81,47.62,42.31,45.67,66.5
2,BOL,2013-01,0.673,0.707,6937,10.9,0.48,-0.59,-0.39,-0.33,-0.78,-1.05,-0.07,34.6,43.13,36.49,24.17,15.02,46.48
2,BOL,2014-01,0.678,0.712,7314,11.6,0.471,-0.63,-0.59,-0.33,-0.87,-1.06,-0.03,30.29,28.85,33.33,20.67,12.98,48.28
2,BOL,2015-01,0.685,0.717,7718,12.5,0.454,-0.7,-0.65,-0.27,-0.89,-1.14,0,26.92,29.33,36.67,19.23,10.58,46.8
2,BOL,2016-01,0.692,0.725,8057,12.6,0.466,-0.72,-0.57,-0.25,-0.92,-1.2,-0.04,25,33.17,36.67,17.31,9.62,45.32
2,BOL,2017-01,0.7,0.735,8186,12.7,0.461,-0.66,-0.38,-0.28,-0.9,-1.21,-0.02,28.37,37.98,34.29,16.35,9.62,45.32
2,BOL,2018-01,0.703,0.737,8445,12.7,0.438,-0.62,-0.32,-0.28,-0.91,-1.15,-0.04,28.85,39.9,37.14,15.38,9.62,44.33
3,BRA,2013-01,0.752,0.748,15579,15.4,0.522,-0.08,-0.09,-0.26,0.07,-0.08,0.42,55.92,50.71,36.97,54.5,52.58,60.56
3,BRA,2014-01,0.755,0.753,15450,15.9,0.514,-0.34,-0.14,-0.07,-0.08,-0.05,0.47,46.63,47.6,42.86,51.44,56.25,62.07
3,BRA,2015-01,0.755,0.757,14775,16.3,0.511,-0.4,-0.18,-0.33,-0.19,-0.15,0.46,42.79,48.08,34.29,48.08,51.44,62.07
3,BRA,2016-01,0.757,0.763,14139,17.3,0.532,-0.38,-0.17,-0.38,-0.21,-0.16,0.45,42.79,46.63,31.9,46.63,49.04,62.07
3,BRA,2017-01,0.76,0.767,14248,17.6,0.533,-0.53,-0.29,-0.42,-0.11,-0.28,0.45,36.06,41.83,30.48,51.44,43.27,61.58
3,BRA,2018-01,0.761,0.768,14182,17.7,0.54,-0.4,-0.45,-0.39,-0.32,-0.25,0.4,40.38,36.06,32.38,39.9,44.71,60.59
4,CHL,2013-01,0.83,0.841,22056,14.7,0.466,1.54,1.26,0.36,1.49,1.37,1.11,90.52,86.73,59.72,91.94,87.79,84.51
4,CHL,2014-01,0.834,0.847,22501,15,0.46,1.49,1.16,0.45,1.49,1.43,1.06,90.87,84.62,60,91.83,87.98,80.79
4,CHL,2015-01,0.839,0.853,22949,15.8,0.453,1.28,1.09,0.43,1.35,1.34,1,87.5,83.17,60,88.94,87.02,79.31
4,CHL,2016-01,0.843,0.858,23003,16.1,0.454,1.14,1.01,0.41,1.37,1.13,1,82.69,79.33,60.48,89.9,85.1,77.83
4,CHL,2017-01,0.845,0.863,22685,16.4,0.454,1.04,0.84,0.42,1.34,1.01,1,82.21,77.88,61.9,88.94,81.73,79.31
4,CHL,2018-01,0.847,0.864,23222,16.4,0.454,1.05,1.08,0.44,1.34,1.09,1.06,82.21,81.73,60.95,88.46,83.17,82.27
5,COL,2013-01,0.746,0.757,13032,12.8,0.54,-0.41,0.07,-1.29,0.4,-0.41,-0.08,42.18,57.82,10.43,63.98,41.78,45.54
5,COL,2014-01,0.75,0.76,13564,12.9,0.54,-0.37,-0.1,-1.11,0.5,-0.29,-0.04,44.23,49.52,10.95,67.79,44.71,47.78
5,COL,2015-01,0.753,0.763,14038,13,0.524,-0.3,-0.04,-1.07,0.47,-0.27,0,47.6,52.4,12.86,68.75,46.63,47.78
5,COL,2016-01,0.759,0.77,14186,12.5,0.521,-0.32,0.02,-0.88,0.4,-0.28,0.12,44.71,53.37,16.19,67.31,43.75,49.75
5,COL,2017-01,0.76,0.774,14055,13.4,0.511,-0.37,-0.07,-0.77,0.34,-0.36,0.11,43.75,51.44,17.62,65.87,40.38,49.26
5,COL,2018-01,0.761,0.775,14085,12.6,0.52,-0.29,-0.09,-0.79,0.32,-0.41,0.19,45.19,50,19.52,64.42,38.46,52.71
6,ECU,2013-01,0.751,0.777,11647,9.2,0.47,-0.57,-0.5,-0.18,-0.93,-0.97,-0.25,35.07,36.02,39.34,19.91,17.37,40.38
6,ECU,2014-01,0.75,0.773,11892,8.5,0.449,-0.75,-0.47,-0.02,-1.01,-1.06,-0.2,25,35.58,45.24,15.87,12.02,39.9
6,ECU,2015-01,0.758,0.787,11693,8.4,0.462,-0.67,-0.44,-0.14,-1.16,-1.03,-0.21,28.37,38.46,40.95,11.54,13.94,39.41
6,ECU,2016-01,0.756,0.787,11346,8.8,0.45,-0.68,-0.43,-0.09,-1.02,-0.76,-0.25,27.4,37.5,44.29,12.98,25,38.42
6,ECU,2017-01,0.757,0.789,11360,9.2,0.444,-0.6,-0.32,-0.07,-1,-0.7,-0.17,30.77,39.9,41.43,14.42,25.48,40.89
6,ECU,2018-01,0.758,0.79,11256,9,0.454,-0.57,-0.26,-0.08,-0.87,-0.64,0.02,32.21,42.79,43.33,16.83,28.37,47.29
7,PAR,2013-01,0.709,0.715,10777,8.2,0.495,-1.04,-0.87,-0.74,-0.31,-0.81,-0.1,14.22,21.33,22.75,42.65,23.47,44.6
7,PAR,2014-01,0.712,0.717,11188,8.4,0.522,-0.97,-0.92,-0.09,-0.28,-0.67,-0.1,15.38,17.31,42.38,43.27,28.37,45.32
7,PAR,2015-01,0.718,0.724,11371,8.8,0.494,-0.95,-0.95,0.04,-0.27,-0.69,-0.07,15.87,17.31,48.57,44.71,28.85,44.83
7,PAR,2016-01,0.718,0.723,11668,8.5,0.497,-0.71,-0.79,0.14,-0.3,-0.73,-0.06,26.92,20.67,50.48,42.31,25.48,44.33
7,PAR,2017-01,0.722,0.726,12205,8.6,0.503,-0.73,-0.82,0,-0.23,-0.65,-0.04,25,19.71,46.19,44.23,28.85,44.33
7,PAR,2018-01,0.724,0.727,12420,8.6,0.474,-0.84,-0.52,-0.07,-0.08,-0.52,0.06,21.15,34.13,44.29,52.4,32.69,49.75
8,PER,2013-01,0.742,0.757,11113,10.3,0.453,-0.42,-0.11,-0.81,0.46,-0.57,0.08,41.23,49.76,20.38,66.35,34.74,52.11
8,PER,2014-01,0.752,0.771,11339,11.1,0.446,-0.56,-0.27,-0.55,0.52,-0.52,0.19,34.13,44.23,27.14,68.75,34.13,54.68
8,PER,2015-01,0.75,0.766,11706,11,0.449,-0.53,-0.28,-0.4,0.49,-0.49,0.23,34.62,44.23,32.38,69.23,37.5,54.68
8,PER,2016-01,0.755,0.772,11900,10.4,0.452,-0.37,-0.18,-0.2,0.51,-0.48,0.27,43.27,45.67,38.1,69.71,34.13,55.17
8,PER,2017-01,0.756,0.774,11931,11.4,0.448,-0.5,-0.13,-0.26,0.42,-0.5,0.27,38.94,48.56,36.19,67.31,33.17,55.17
8,PER,2018-01,0.759,0.775,12155,11.1,0.439,-0.53,-0.25,-0.26,0.5,-0.53,0.23,34.62,44.23,37.62,69.23,32.21,55.17
9,URY,2013-01,0.797,0.802,18924,14.2,0.397,1.38,0.45,0.8,0.54,0.56,1.09,89.57,66.82,71.56,68.72,67.14,83.57
9,URY,2014-01,0.8,0.805,19262,14.3,0.392,1.38,0.48,0.99,0.53,0.71,1.11,89.9,71.15,83.81,69.23,75.96,83.25
9,URY,2015-01,0.802,0.807,19679,14.9,0.392,1.32,0.53,1,0.42,0.71,1.14,89.42,72.6,85.24,67.31,75,85.71
9,URY,2016-01,0.806,0.812,19844,15.9,0.391,1.27,0.57,1.06,0.49,0.63,1.16,88.46,73.08,90,69.23,73.56,86.7
9,URY,2017-01,0.807,0.813,20056,16.8,0.39,1.29,0.43,1.05,0.66,0.59,1.17,88.46,68.27,87.14,73.56,72.12,86.7
9,URY,2018-01,0.808,0.814,20091,17.2,0.391,1.26,0.56,1.04,0.51,0.59,1.21,87.5,73.08,87.62,70.19,73.08,89.66
10,VEN,2013-01,0.772,0.768,19360,16.1,0.388,-1.31,-1.17,-1.08,-1.63,-1.82,-0.95,5.69,12.32,16.59,2.84,0.47,22.07
10,VEN,2014-01,0.77,0.767,18833,18.8,0.378,-1.4,-1.23,-0.85,-1.82,-1.92,-1.08,4.33,11.06,18.1,2.88,0.48,19.7
10,VEN,2015-01,0.763,0.765,17214,18.8,0.381,-1.39,-1.22,-0.98,-1.88,-2.03,-1.09,4.33,10.58,15.71,2.4,0.48,19.7
10,VEN,2016-01,0.752,0.763,14528,18.8,0.38,-1.35,-1.29,-1.02,-2,-2.24,-1.14,6.73,8.17,13.81,2.4,0.48,17.24
10,VEN,2017-01,0.735,0.75,12436,18.8,0.381,-1.36,-1.4,-1.25,-1.96,-2.26,-1.21,7.21,7.69,10.95,2.4,0.48,14.29
10,VEN,2018-01,0.726,0.749,10380,18.8,0.377,-1.47,-1.58,-1.32,-2.36,-2.32,-1.41,4.81,4.81,10,1,0.48,10.34
