,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Cuba,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Republica Dominicana,Uruguay,Venezuela,Estados árabe,Asia oriental y el Pacífico,Europa y Asia Central,Latinoamerica y el caribe,Asia del Sur,Africa Sub-sahariana,Países menos desarrollados,Small Island Developing States,Organización para la Cooperación Económica y el Desarrollo,Mundo
1990,0.742,0.57,0.699,0.682,0.662,0.682,0.599,0.655,0.595,0.603,0.548,0.752,0.514,0.702,0.666,0.589,0.617,0.693,0.772,0.703,0.472,0.684,0.688,0.482,0.494,0.395,0.64,0.846,0.679
1991,0.755,0.5760000000000001,0.6990000000000001,0.691,0.6629999999999999,0.684,0.581,0.66,0.595,0.607,0.5379999999999999,0.7559999999999999,0.511,0.708,0.664,0.595,0.615,0.6990000000000001,0.7829999999999999,0.6970000000000001,0.48,0.674,0.691,0.484,0.491,0.392,0.642,0.846,0.6779999999999999
1992,0.7659999999999999,0.5770000000000001,0.6970000000000001,0.706,0.667,0.6940000000000001,0.562,0.662,0.604,0.61,0.541,0.759,0.511,0.7190000000000001,0.662,0.591,0.629,0.71,0.7859999999999999,0.703,0.493,0.66,0.693,0.488,0.483,0.38299999999999995,0.6459999999999999,0.848,0.677
1993,0.777,0.58,0.7,0.7140000000000001,0.6729999999999999,0.701,0.537,0.6629999999999999,0.611,0.612,0.55,0.759,0.504,0.727,0.664,0.595,0.635,0.713,0.7829999999999999,0.7040000000000001,0.506,0.652,0.696,0.49,0.478,0.382,0.65,0.8490000000000001,0.677
1994,0.7829999999999999,0.584,0.7040000000000001,0.7170000000000001,0.68,0.706,0.537,0.6659999999999999,0.617,0.614,0.546,0.764,0.504,0.73,0.665,0.609,0.637,0.722,0.775,0.703,0.52,0.634,0.7,0.49200000000000005,0.473,0.37200000000000005,0.6559999999999999,0.852,0.679
1995,0.777,0.588,0.711,0.7290000000000001,0.685,0.7070000000000001,0.539,0.667,0.622,0.618,0.55,0.75,0.516,0.727,0.669,0.616,0.643,0.72,0.779,0.7020000000000001,0.531,0.634,0.7,0.499,0.47600000000000003,0.381,0.6629999999999999,0.855,0.682
1996,0.7829999999999999,0.5920000000000001,0.71,0.737,0.685,0.706,0.551,0.6659999999999999,0.621,0.618,0.5489999999999999,0.758,0.526,0.73,0.6759999999999999,0.62,0.65,0.727,0.7759999999999999,0.705,0.542,0.638,0.703,0.505,0.479,0.387,0.669,0.858,0.6859999999999999
1997,0.792,0.596,0.7120000000000001,0.746,0.687,0.711,0.5539999999999999,0.67,0.624,0.621,0.5529999999999999,0.7659999999999999,0.531,0.735,0.674,0.627,0.66,0.7390000000000001,0.7759999999999999,0.708,0.55,0.645,0.708,0.506,0.48100000000000004,0.392,0.6759999999999999,0.863,0.6890000000000001
1998,0.7959999999999999,0.602,0.708,0.752,0.6859999999999999,0.716,0.5539999999999999,0.6709999999999999,0.627,0.625,0.555,0.772,0.5379999999999999,0.742,0.6709999999999999,0.625,0.6679999999999999,0.745,0.774,0.715,0.5489999999999999,0.648,0.7090000000000001,0.511,0.48100000000000004,0.396,0.675,0.866,0.691
1999,0.789,0.599,0.706,0.748,0.6779999999999999,0.716,0.562,0.657,0.627,0.627,0.55,0.774,0.546,0.743,0.665,0.625,0.674,0.742,0.764,0.715,0.556,0.645,0.706,0.517,0.48,0.39399999999999996,0.68,0.87,0.6940000000000001
2000,0.7859999999999999,0.599,0.7140000000000001,0.754,0.679,0.7170000000000001,0.57,0.655,0.628,0.629,0.556,0.779,0.55,0.747,0.652,0.626,0.6779999999999999,0.7390000000000001,0.767,0.718,0.5660000000000001,0.653,0.711,0.52,0.479,0.39799999999999996,0.6859999999999999,0.875,0.6990000000000001
2001,0.777,0.599,0.713,0.757,0.679,0.7190000000000001,0.575,0.6609999999999999,0.629,0.63,0.556,0.777,0.551,0.7440000000000001,0.65,0.626,0.68,0.732,0.768,0.7190000000000001,0.574,0.653,0.7090000000000001,0.523,0.48200000000000004,0.40399999999999997,0.684,0.8759999999999999,0.701
2002,0.754,0.6,0.716,0.759,0.68,0.722,0.5770000000000001,0.6659999999999999,0.629,0.63,0.557,0.775,0.551,0.7490000000000001,0.65,0.631,0.684,0.722,0.75,0.7170000000000001,0.585,0.6629999999999999,0.7070000000000001,0.528,0.488,0.41,0.687,0.877,0.703
2003,0.767,0.599,0.716,0.7609999999999999,0.682,0.726,0.5820000000000001,0.667,0.63,0.631,0.5589999999999999,0.775,0.5529999999999999,0.748,0.6409999999999999,0.635,0.677,0.716,0.735,0.718,0.596,0.672,0.708,0.536,0.49,0.414,0.69,0.88,0.7070000000000001
2004,0.767,0.601,0.723,0.7659999999999999,0.688,0.731,0.59,0.675,0.63,0.632,0.563,0.779,0.56,0.754,0.648,0.638,0.6759999999999999,0.723,0.757,0.728,0.607,0.685,0.7140000000000001,0.544,0.495,0.42,0.695,0.884,0.713
2005,0.778,0.606,0.726,0.772,0.6940000000000001,0.735,0.606,0.682,0.634,0.634,0.569,0.78,0.5660000000000001,0.759,0.6509999999999999,0.644,0.6920000000000001,0.736,0.772,0.733,0.619,0.696,0.718,0.551,0.5,0.426,0.703,0.887,0.718
2006,0.8009999999999999,0.611,0.731,0.772,0.7020000000000001,0.745,0.624,0.6859999999999999,0.64,0.638,0.575,0.785,0.568,0.768,0.6609999999999999,0.65,0.7040000000000001,0.743,0.785,0.7390000000000001,0.633,0.706,0.726,0.5589999999999999,0.508,0.435,0.716,0.8909999999999999,0.7240000000000001
2007,0.8140000000000001,0.615,0.7390000000000001,0.779,0.7090000000000001,0.755,0.634,0.687,0.643,0.644,0.583,0.7859999999999999,0.575,0.785,0.674,0.6609999999999999,0.7120000000000001,0.752,0.7979999999999999,0.745,0.649,0.716,0.733,0.568,0.511,0.445,0.725,0.893,0.73
2008,0.818,0.622,0.7440000000000001,0.79,0.7120000000000001,0.7609999999999999,0.64,0.696,0.647,0.6459999999999999,0.586,0.7859999999999999,0.578,0.797,0.6829999999999999,0.675,0.718,0.7609999999999999,0.8029999999999999,0.752,0.66,0.7190000000000001,0.737,0.57,0.514,0.451,0.726,0.893,0.733
2009,0.807,0.623,0.743,0.787,0.7120000000000001,0.7559999999999999,0.6409999999999999,0.695,0.6409999999999999,0.643,0.578,0.775,0.57,0.797,0.68,0.6759999999999999,0.7170000000000001,0.7659999999999999,0.794,0.75,0.669,0.713,0.732,0.5770000000000001,0.517,0.45799999999999996,0.723,0.887,0.731
2010,0.82,0.626,0.7509999999999999,0.7929999999999999,0.716,0.7609999999999999,0.645,0.698,0.644,0.645,0.579,0.7809999999999999,0.575,0.7979999999999999,0.6940000000000001,0.685,0.727,0.777,0.789,0.752,0.682,0.721,0.738,0.585,0.521,0.462,0.737,0.8909999999999999,0.736
2011,0.828,0.63,0.7559999999999999,0.802,0.7240000000000001,0.765,0.65,0.7070000000000001,0.649,0.647,0.581,0.784,0.5820000000000001,0.816,0.7,0.693,0.73,0.784,0.7909999999999999,0.753,0.693,0.731,0.743,0.59,0.524,0.467,0.7390000000000001,0.893,0.74
2012,0.825,0.633,0.758,0.8109999999999999,0.7290000000000001,0.7709999999999999,0.655,0.7140000000000001,0.6509999999999999,0.6509999999999999,0.583,0.787,0.589,0.825,0.696,0.7020000000000001,0.732,0.7829999999999999,0.7959999999999999,0.758,0.703,0.736,0.746,0.593,0.527,0.47200000000000003,0.742,0.894,0.7440000000000001
2013,0.8270000000000001,0.64,0.763,0.815,0.736,0.772,0.659,0.7190000000000001,0.653,0.653,0.584,0.785,0.594,0.833,0.7070000000000001,0.7120000000000001,0.736,0.792,0.795,0.7559999999999999,0.711,0.7440000000000001,0.7490000000000001,0.598,0.531,0.474,0.745,0.8959999999999999,0.747
2014,0.8220000000000001,0.648,0.7609999999999999,0.818,0.742,0.775,0.66,0.722,0.655,0.657,0.584,0.7879999999999999,0.6,0.8340000000000001,0.713,0.715,0.7440000000000001,0.795,0.7909999999999999,0.758,0.721,0.748,0.75,0.606,0.536,0.48100000000000004,0.747,0.898,0.7509999999999999
2015,0.8240000000000001,0.657,0.755,0.821,0.747,0.778,0.6659999999999999,0.7190000000000001,0.657,0.6609999999999999,0.589,0.7909999999999999,0.605,0.843,0.715,0.7190000000000001,0.754,0.7979999999999999,0.778,0.7609999999999999,0.728,0.752,0.748,0.613,0.537,0.485,0.7509999999999999,0.9,0.754
2016,0.8190000000000001,0.6629999999999999,0.748,0.821,0.748,0.7829999999999999,0.6659999999999999,0.715,0.66,0.662,0.5920000000000001,0.7929999999999999,0.61,0.847,0.7190000000000001,0.722,0.7609999999999999,0.799,0.752,0.763,0.736,0.753,0.745,0.624,0.536,0.48700000000000004,0.752,0.902,0.757
2017,0.821,0.665,0.7490000000000001,0.8190000000000001,0.747,0.7859999999999999,0.669,0.715,0.662,0.665,0.597,0.795,0.615,0.8540000000000001,0.726,0.722,0.7659999999999999,0.8009999999999999,0.7290000000000001,0.762,0.745,0.759,0.745,0.631,0.535,0.49,0.753,0.905,0.7609999999999999
2018,0.8140000000000001,0.67,0.748,0.823,0.747,0.7879999999999999,0.672,0.7140000000000001,0.665,0.667,0.598,0.7959999999999999,0.607,0.857,0.728,0.725,0.775,0.8009999999999999,0.701,0.762,0.753,0.762,0.745,0.637,0.535,0.494,0.755,0.907,0.764
2019,0.809,0.672,0.7490000000000001,0.823,0.7490000000000001,0.7879999999999999,0.6729999999999999,0.711,0.669,0.6709999999999999,0.6,0.794,0.599,0.8590000000000001,0.726,0.726,0.7809999999999999,0.8009999999999999,0.643,0.754,0.754,0.784,0.755,0.631,0.545,0.51,0.764,0.9229999999999999,0.773
